,type,product,per_serving_g,total_fat_g,sugars_g,sodium_g,total_fat_g_per_gram_of_serving,sugars_g_per_gram_of_serving,sodium_g_per_gram_of_serving,imageLink
34,cracker,https://www.fairprice.com.sg/search?query=Munchy's Lexus Sandwich Calcium Crackers - Vegetable,100.0,24.0,13.0,0.437,0.24,0.13,0.00437,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13013282_XL1_20230914.jpg
35,cracker,https://www.fairprice.com.sg/search?query=Khong Guan Crackers - Family,36.0,9.0,1.0,0.19,0.25,0.0277777777777777,0.005277778,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/478356_XL1_20210216.jpg
36,cracker,https://www.fairprice.com.sg/search?query=Hup Seng Crackers - Wholemeal,22.5,6.0,2.0,0.1,0.2666666666666666,0.088888889,0.004444444,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11157804_XL1_20230418.jpg
37,cracker,https://www.fairprice.com.sg/search?query=Khong Guan Biscuits - Sultana,30.0,4.0,11.0,0.085,0.1333333333333333,0.3666666666666666,0.002833333,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11810295_XL1_20220919.jpg
38,cracker,https://www.fairprice.com.sg/search?query=Munchy's Crackers - Vegetables,100.0,18.0,2.0,0.5,0.18,0.02,0.005,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13013282_XL1_20230914.jpg
39,cracker,https://www.fairprice.com.sg/search?query=Nabisco Chicken in a Biskit Baked Snack Crackers,31.0,8.0,2.0,0.23,0.2580645161290322,0.064516129,0.007419355,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13103180_XL1_20230709.jpg
40,cracker,https://www.fairprice.com.sg/search?query=Cowhead Crispy Crackers - Cheese,26.0,6.0,5.0,0.105,0.2307692307692307,0.1923076923076923,0.004038462,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13108501_XL1_20220718.jpg
41,cracker,https://www.fairprice.com.sg/search?query=Shoon Fatt Crackers - Light Treat (Cream Special),20.0,5.0,1.0,0.106,0.25,0.05,0.0053,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13136281_XL1_20230927.jpg
42,cracker,https://www.fairprice.com.sg/search?query=Shoon Fatt Crackers - Sweeties (Sugar),20.0,3.0,3.0,0.12,0.15,0.15,0.006,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13136282_XL1_20230927.jpg
43,cream,https://www.fairprice.com.sg/search?query=Arnott's Tim Tam Biscuits - Chewy Caramel,100.0,23.9,46.8,0.193,0.239,0.4679999999999999,0.00193,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12633921_XL1_20230927.jpg
44,cream,https://www.fairprice.com.sg/search?query=Cowhead Sandwich Crackers with Calcium - Cheese,24.0,6.0,4.0,0.14,0.25,0.1666666666666666,0.005833333,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11167455_XL1_20220718.jpg
45,cream,https://www.fairprice.com.sg/search?query=Glico Collon Biscuit Roll - Chocolate,46.0,11.0,17.9,0.012,0.2391304347826087,0.3891304347826086,0.00026087,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13035991_XL1_20220919.jpg
46,cream,https://www.fairprice.com.sg/search?query=Jack 'n Jill Dewberry Sandwich Biscuits - Blueberry,36.0,9.9,12.6,0.183,0.275,0.35,0.005083333,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13102644_XL1_20230914.jpg
47,cream,https://www.fairprice.com.sg/search?query=Jack 'n Jill Dewberry Sandwich Biscuits - Strawberry,36.0,7.9,12.0,0.1,0.2194444444444444,0.3333333333333333,0.002777778,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13102645_XL1_20230914.jpg
48,cream,https://www.fairprice.com.sg/search?query=Julie's Le-Mond Sandwich Biscuits - Cheddar Cheese,18.0,4.6,2.7,0.088,0.2555555555555555,0.15,0.004888889,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13009888_XL1_20201130.jpg
49,cream,https://www.fairprice.com.sg/search?query=Julie's Le-Mond Sandwich Biscuits - Lemon,17.0,3.9,3.4,0.096,0.2294117647058823,0.1999999999999999,0.005647059,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12599807_XL1_20201130.jpg
50,cream,https://www.fairprice.com.sg/search?query=Julie's Sandwich Biscuits - Cheese,28.0,8.0,5.0,0.115,0.2857142857142857,0.1785714285714285,0.004107143,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12021917_XL1_20220729.jpg
51,cream,https://www.fairprice.com.sg/search?query=Julie's Sandwich Biscuits - Peanut Butter,30.0,8.0,6.0,0.085,0.2666666666666666,0.2,0.002833333,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12083675_XL1_20201210.jpg
52,cream,https://www.fairprice.com.sg/search?query=Khong Guan Sandwich Biscuits - Banana ,30.0,9.0,6.0,0.085,0.3,0.2,0.002833333,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/278946_XL1_20220311.jpg
53,cream,https://www.fairprice.com.sg/search?query=Khong Guan Sandwich Biscuits - Cookies &amp; Cream ,27.0,6.8,7.3,0.0977,0.2518518518518518,0.2703703703703703,0.003618519,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12686935_XL1_20220310.jpg
54,cream,https://www.fairprice.com.sg/search?query=Khong Guan Sandwich Biscuits - Custard,30.0,8.0,5.0,0.075,0.2666666666666666,0.1666666666666666,0.0025,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/48779_XL1_20220307.jpg
55,cream,https://www.fairprice.com.sg/search?query=Khong Guan Sandwich Biscuits - Lemon Puff,22.0,6.0,4.0,0.117,0.2727272727272727,0.1818181818181818,0.005318182,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10797324_XL1_20210505.jpg
56,cream,https://www.fairprice.com.sg/search?query=Khong Guan Sandwich Biscuits - Orange,31.0,10.0,8.0,0.085,0.3225806451612903,0.2580645161290322,0.002741935,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/278938_XL1_20220919.jpg
57,cream,https://www.fairprice.com.sg/search?query=Lotus Biscoff Biscuit - Biscoff Cream,100.0,26.0,34.0,0.325,0.26,0.34,0.00325,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13197177_XL1_20210430.jpg
58,cream,https://www.fairprice.com.sg/search?query=Lotus Biscoff Biscuits - Milk Chocolate,100.0,24.0,40.0,0.325,0.24,0.4,0.00325,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13197186_XL1_20210430.jpg
59,cream,https://www.fairprice.com.sg/search?query=Meiji Hello Panda Biscuits - Chocolate,26.0,7.5,7.5,0.107,0.2884615384615384,0.2884615384615384,0.004115385,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/327454_XL1.jpg
60,cream,https://www.fairprice.com.sg/search?query=Meiji Hello Panda Biscuits - Milk ,26.0,6.9,7.6,0.097,0.2653846153846154,0.2923076923076922,0.003730769,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13000160_XL1_20230814.jpg
61,cream,https://www.fairprice.com.sg/search?query=Meiji Hello Panda Biscuits - Strawberry ,26.0,7.0,7.6,0.107,0.2692307692307692,0.2923076923076922,0.004115385,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10461601_XL1_20210111.jpg
62,cream,https://www.fairprice.com.sg/search?query=Munchy's Lexus Sandwich Calcium Crackers - Chocolate,19.0,5.0,4.0,0.074,0.2631578947368421,0.2105263157894736,0.003894737,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13013277_XL1_20230914.jpg
63,cream,https://www.fairprice.com.sg/search?query=Munchy's Lexus Sandwich Calcium Crackers - Peanut Butter,100.0,27.0,20.0,0.314,0.27,0.2,0.00314,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13013279_XL1_20230914.jpg
64,cream,https://www.fairprice.com.sg/search?query=Oreo Sandwich Cookies Multipack - Chocolate Creme,29.0,6.0,11.2,0.126,0.2068965517241379,0.3862068965517241,0.004344828,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13012298_XL1_20230630.jpg
65,cream,https://www.fairprice.com.sg/search?query=Oreo Sandwich Cookies Multipack - Dark &amp; White Chocolate ,29.0,6.0,11.0,0.15,0.2068965517241379,0.3793103448275862,0.005172414,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13098765_XL1_20230630.jpg
66,cream,https://www.fairprice.com.sg/search?query=Oreo Sandwich Cookies Multipack - Strawberry ,29.0,5.9,11.2,0.142,0.2034482758620689,0.3862068965517241,0.004896552,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13034296_XL1_20230630.jpg
67,cream,https://www.fairprice.com.sg/search?query=Ritz Sandwich Biscuits Multipack - Chocolate Cream,27.0,7.1,6.3,0.083,0.2629629629629629,0.2333333333333333,0.003074074,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13160721_XL1_20230908.jpg
68,wafer,https://www.fairprice.com.sg/search?query=Loacker Quadratini Crispy Wafers - Matcha-Green Tea,100.0,24.0,27.0,0.1679999999999999,0.24,0.27,0.00168,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13151590_XL1_20220310.jpg
