type,product,per_serving_g,total_fat_g,sugars_g,carbohydrate_g,protein_g,sodium_g,salt_g,total_fat_g_per_gram_of_serving,sugars_g_per_gram_of_serving,sodium_g_per_gram_of_serving
wafer,Julie's Love Letter Wafer Biscuit Roll - Chocolate,30,4,13,23,0,0.065,0,0.133333333,0.43333333,0.002166667
wafer,Julie's Love Letter Wafer Biscuit Roll - Strawberry,30,5,12,22,0,0.065,0,0.166666667,0.4,0.002166667
wafer,Lee S'bery Wafers Sticks,180,31.6,23.2,0,6.2,0.048,0,0.175555556,0.128888889,0.000266667
wafer,Loacker Crispy Wafer Bar - Milk,100,28,27,59,8.7,0,0.41,0.28,0.27,0.00164
wafer,Loacker Crispy Wafer Bar - Cremkakao,100,26,28,59,7.7,0,0.31,0.26,0.28,0.00124
wafer,Mincher Peanut Flavor Wafer,400,29.2,10.9,47.9,11.4,0.071,0,0.073,0.02725,0.0001775
wafer,Redondo Cream Wafers - Cappuccino,36,6.5,12.6,27,1.1,0.081,0,0.180555556,0.35,0.00225
wafer,"Schar Schar Wafers with Lemon Cream, Gluten Free",100,24,33,71,2.4,0,0.15,0.24,0.33,0.0006
wafer,Lee Biscuits Carton - 24 Pack Cheese Cream Wafers Cubes,80,32.4,12.8,0,4.6,0.314,0,0.405,0.16,0.003925
wafer,Lee Biscuits Carton - 24 Pack Strawberry Cream Wafers Cubes,90,31.6,23.2,0,6.2,0.048,0,0.351111111,0.257777778,0.000533333
wafer,Aladdin Danish Deluxe Waffle Cones,100,6.9,28.6,84.5,6.1,0,0,0.069,0.286,0
wafer,Aladdin Ice Cream Cones,12,0.5,4,0,1,0.007,0,0.041666667,0.33333333,0.000583333
wafer,Jules Destrooper Biscuits - Butter Crisps,100,15,36,65,5.1,0,0.41,0.15,0.36,0.00164
wafer,Kagi Swiss Chocolate Wafer Minis - Classic,100,35,38,57,6.5,0,0.24,0.35,0.38,0.00096
wafer,Lee Biscuits Carton - 24 Pack Chocolate Cream Wafers Cubes,90,26.7,30.7,0,5.5,0.049,0,0.296666667,0.341111111,0.000544444
wafer,Lee Biscuits Carton - 24 Pack Lemon Cream Wafers Cubes,90,25.5,20.7,0,4.7,0.062,0,0.283333333,0.23,0.000688889
wafer,Kagi Swiss Chocolate Wafer Minis - Dark,125,37,34,55,5.9,0,0.14,0.296,0.272,0.000448
